iter,layer,h_in_rms,attn_rms,attn_ratio,attn_cos,h_mid_rms,mlp_rms,mlp_ratio,mlp_cos,h_out_rms,attn_gain_rms,mlp_gain_rms
8000,61,50.4665,1.16488,0.0230822,0.222113,50.7381,9.12759,0.179896,0.487421,55.7594,0.999526,1.07206
8000,62,55.7594,1.16562,0.0209045,0.226457,56.0344,8.77887,0.156669,0.532799,61.164,0.988056,1.04289
8000,63,61.164,0.551226,0.00901225,0.341886,61.3517,7.78932,0.126962,0.43758,65.1373,0.985982,1.01043
24000,0,0.0295047,6.35358,215.341,0.0128766,6.35402,2.38737,0.375726,0.483265,7.793,0.543036,0.690773
24000,1,7.793,0.764351,0.0980817,0.235873,8.00782,4.9466,0.617722,0.255421,10.4318,0.697278,0.914034
24000,2,10.4318,0.794194,0.0761321,0.123376,10.556,1.25131,0.11854,0.237688,10.9177,0.854608,0.921267
24000,3,10.9177,1.02878,0.0942311,0.0851125,11.0518,1.61762,0.146368,0.245409,11.5514,0.937341,0.848223
24000,4,11.5514,1.08672,0.094077,0.12859,11.7403,1.84781,0.157391,0.257846,12.3451,0.939137,0.812021
24000,5,12.3451,1.40304,0.113652,0.132364,12.6085,3.09695,0.245624,0.264595,13.7599,1.01626,0.723897
24000,6,13.7599,1.70969,0.124252,0.0765372,13.9916,2.00705,0.143446,0.159782,14.4509,1.07664,0.663736
24000,7,14.4509,1.7716,0.122595,0.150824,14.8189,2.3101,0.155889,0.215557,15.4817,1.14586,0.647474
24000,8,15.4817,1.82795,0.118072,0.145394,15.8483,2.61098,0.164748,0.250251,16.6957,1.10882,0.661951
24000,9,16.6957,1.47423,0.0883003,0.165733,17.0059,2.84657,0.167387,0.243342,17.9134,1.01084,0.682059
24000,10,17.9134,1.76433,0.0984922,0.163601,18.2845,2.99889,0.164013,0.233561,19.21,1.04853,0.680104
24000,11,19.21,1.81762,0.0946184,0.173554,19.6094,3.19244,0.162801,0.223356,20.5605,1.06677,0.688221
24000,12,20.5605,1.81064,0.088064,0.203716,21.0057,3.30706,0.157436,0.196268,21.8929,1.01403,0.699923
24000,13,21.8929,1.45536,0.0664766,0.144922,22.1487,3.42132,0.15447,0.166702,22.9687,1.00997,0.710503
24000,14,22.9687,1.57168,0.068427,0.149067,23.2552,3.5567,0.152942,0.114277,23.9244,0.952617,0.708484
24000,15,23.9244,2.03651,0.0851227,0.132546,24.2786,3.73112,0.153679,0.0854503,24.8746,1.06961,0.704968
24000,16,24.8746,2.25737,0.0907499,0.167972,25.3508,4.0133,0.158311,0.0584296,25.8972,1.01602,0.689818
24000,17,25.8972,4.00265,0.154559,0.11523,26.657,4.47357,0.16782,0.0700344,27.3384,1.20293,0.666863
24000,18,27.3384,2.69087,0.0984281,0.129648,27.8154,4.67586,0.168104,0.0846684,28.5949,1.11584,0.665764
24000,19,28.5949,4.32845,0.151371,0.173776,29.6557,5.14811,0.173596,0.107069,30.6373,1.21141,0.674402
24000,20,30.6373,3.12181,0.101896,0.170983,31.322,5.61482,0.179261,0.123477,32.4958,1.07787,0.686046
24000,21,32.4958,3.49057,0.107416,0.0894366,32.9914,5.98312,0.181354,0.118706,34.2216,1.05334,0.688353
24000,22,34.2216,4.39354,0.128385,0.107169,34.967,6.01575,0.17204,0.118663,36.177,1.28579,0.689735
24000,23,36.177,4.97322,0.137469,0.158009,37.2873,6.59625,0.176903,0.154324,38.8551,1.26367,0.69297
24000,24,38.8551,5.76912,0.148478,0.240718,40.6317,7.30775,0.179853,0.18473,42.5902,1.21176,0.702226
24000,25,42.5902,3.88645,0.0912522,0.182578,43.4682,7.81937,0.179887,0.199758,45.6773,1.13737,0.720168
24000,26,45.6773,3.7321,0.0817058,0.14272,46.3585,8.14922,0.175787,0.188473,48.5582,1.09301,0.731076
24000,27,48.5582,5.92639,0.122047,0.200622,50.0853,8.4408,0.168528,0.227327,52.6503,1.27029,0.746499
24000,28,52.6503,4.24228,0.0805747,0.198528,53.6542,8.56563,0.159645,0.228274,56.2317,1.15934,0.760119
24000,29,56.2317,4.36586,0.0776406,0.207771,57.297,8.80933,0.153749,0.230518,59.943,1.19543,0.77334
24000,30,59.943,5.75057,0.0959339,0.276826,61.783,9.3149,0.150768,0.281809,65.0248,1.26448,0.792048
24000,31,65.0248,4.00657,0.061616,0.321247,66.4207,9.08982,0.136852,0.281549,69.5297,1.01944,0.810159
24000,32,69.5297,4.98351,0.0716746,0.385668,71.5975,9.42139,0.131588,0.303792,74.9975,1.08943,0.824561
24000,33,74.9975,3.48698,0.0464947,0.296479,76.1033,9.255,0.121611,0.300748,79.3787,1.07689,0.841833
24000,34,79.3787,5.49305,0.0692006,0.338234,81.4037,9.4379,0.115939,0.299385,84.7083,1.16606,0.862503
24000,35,84.7083,5.31555,0.0627512,0.45145,87.2336,9.56036,0.109595,0.303728,90.5959,1.10761,0.883537
24000,36,90.5959,2.94412,0.0324972,0.426546,91.8913,9.39086,0.102195,0.292551,95.0604,0.98928,0.901543
24000,37,95.0604,1.95319,0.0205468,0.505425,96.0469,9.10408,0.0947879,0.256281,98.7733,0.839338,0.917532
24000,38,98.7733,3.46924,0.0351233,0.475154,100.468,9.18375,0.0914096,0.236397,103.026,0.991134,0.931586
24000,39,103.026,2.34888,0.0227989,0.414159,104.024,9.29687,0.0893721,0.223359,106.487,0.854741,0.943561
24000,40,106.487,1.78471,0.01676,0.418268,107.261,9.30937,0.0867913,0.205827,109.557,0.911309,0.954977
24000,41,109.557,1.74046,0.0158864,0.331663,110.146,9.41703,0.0854961,0.184509,112.264,0.879023,0.966123
24000,42,112.264,1.20055,0.010694,0.403966,112.695,9.51792,0.0844577,0.170862,114.704,0.850012,0.975349
24000,43,114.704,1.27677,0.011131,0.372023,115.15,9.58954,0.0832785,0.153489,117.007,0.869572,0.984977
24000,44,117.007,1.54638,0.0132162,0.236242,117.397,9.75903,0.0831287,0.145921,119.212,0.895708,0.992084
24000,45,119.212,2.79667,0.0234596,0.189745,119.753,9.95967,0.0831686,0.140485,121.557,0.979357,0.999298
24000,46,121.557,2.24073,0.0184336,0.194304,122.033,10.0201,0.0821099,0.133596,123.772,1.00709,1.007
24000,47,123.772,3.03828,0.0245474,0.139419,124.247,10.2377,0.0823984,0.135652,126.042,0.947316,1.01307
24000,48,126.042,3.08195,0.0244517,0.171834,126.627,10.4852,0.0828033,0.135563,128.468,1.09184,1.01779
24000,49,128.468,3.10074,0.0241363,0.151607,128.988,10.8681,0.0842565,0.139368,130.942,1.07551,1.02705
24000,50,130.942,3.02251,0.0230827,0.102698,131.262,11.3105,0.0861676,0.132267,133.229,0.995091,1.03181
24000,51,133.229,2.06333,0.0154871,0.122138,133.448,11.6721,0.0874657,0.132442,135.488,1.04998,1.03763
24000,52,135.488,2.45223,0.0180993,0.161991,135.886,11.9656,0.0880562,0.136157,138.028,1.0196,1.04141
