iter,tensor,layer,mean,rms,max,min
63125,linear_fc1,4,0.845019,0.846115,1.04688,0.00823975
63125,linear_fc1,5,0.764045,0.764952,1.6875,0.00805664
63125,linear_fc1,6,0.70796,0.708813,1.03125,0.013916
63125,linear_fc1,7,0.675069,0.675971,0.96875,0.0235596
63125,linear_fc1,8,0.675435,0.676322,0.90625,0.0150146
63125,linear_fc1,9,0.676393,0.677262,0.894531,0.0108032
63125,linear_fc1,10,0.658794,0.659637,0.78125,0.0184326
63125,linear_fc1,11,0.650148,0.650925,0.726562,0.0125732
63125,linear_fc1,12,0.648689,0.649429,0.726562,0.015625
63125,linear_fc1,13,0.643382,0.644078,0.714844,0.0158691
63125,linear_fc1,14,0.625904,0.626541,0.707031,0.0178223
63125,linear_fc1,15,0.615419,0.615982,0.6875,0.0253906
63125,linear_fc1,16,0.591708,0.592188,0.660156,0.0247803
63125,linear_fc1,17,0.569588,0.570024,0.636719,0.0490723
63125,linear_fc1,18,0.560288,0.560697,0.644531,0.0361328
63125,linear_fc1,19,0.558364,0.558755,0.65625,0.0407715
63125,linear_fc1,20,0.56613,0.566504,0.71875,0.0461426
63125,linear_fc1,21,0.564286,0.564665,0.703125,0.0400391
63125,linear_fc1,22,0.562196,0.562621,0.621094,0.0195312
63125,linear_fc1,23,0.567129,0.56754,0.621094,0.034668
63125,linear_fc1,24,0.578373,0.578813,0.640625,0.0229492
63125,linear_fc1,25,0.602451,0.602915,0.648438,0.0213623
63125,linear_fc1,26,0.621059,0.621533,0.671875,0.0130005
63125,linear_fc1,27,0.642742,0.64325,0.699219,0.0202637
63125,linear_fc1,28,0.662496,0.663021,0.71875,0.0116577
63125,linear_fc1,29,0.679401,0.679935,0.730469,0.00765991
63125,linear_fc1,30,0.702134,0.702647,0.757812,0.0222168
63125,linear_fc1,31,0.723656,0.724193,0.769531,0.0172119
63125,linear_fc1,32,0.736893,0.737443,0.785156,0.00915527
63125,linear_fc1,33,0.753564,0.754152,0.8125,0.00878906
63125,linear_fc1,34,0.774897,0.775503,0.835938,0.00527954
63125,linear_fc1,35,0.802047,0.802684,0.855469,0.00564575
63125,linear_fc1,36,0.829039,0.829703,0.9375,0.00643921
63125,linear_fc1,37,0.848819,0.849547,0.902344,0.0018692
63125,linear_fc1,38,0.865778,0.866557,0.925781,0.00488281
63125,linear_fc1,39,0.879554,0.880407,0.925781,0.00280762
63125,linear_fc1,40,0.891974,0.892879,0.945312,0.00230408
63125,linear_fc1,41,0.903722,0.904672,0.980469,0.00476074
63125,linear_fc1,42,0.915136,0.916157,0.976562,0.00460815
63125,linear_fc1,43,0.925258,0.926314,0.984375,0.0071106
63125,linear_fc1,44,0.931526,0.932669,1.01562,0.00418091
63125,linear_fc1,45,0.9387,0.939882,1.03125,0.00579834
63125,linear_fc1,46,0.945665,0.946913,1.04688,0.00952148
63125,linear_fc1,47,0.952627,0.953906,1.0625,0.0101929
63125,linear_fc1,48,0.958162,0.959535,1.08594,0.00726318
63125,linear_fc1,49,0.969233,0.970641,1.10156,0.0201416
63125,linear_fc1,50,0.974145,0.975603,1.11719,0.015625
63125,linear_fc1,51,0.980727,0.982236,1.15625,0.0366211
63125,linear_fc1,52,0.983717,0.985214,1.16406,0.0410156
63125,linear_fc1,53,0.989709,0.991123,1.21875,0.0825195
