layer,shard,amax_act,amax_wgt,amax_act_last,scale_act,scale_fwd_med,iter
self_attention.linear_qkv,3,26.1255,0.12207,0,17.148,17.148,8000
mlp.linear_fc1,3,21.2249,0.123047,0,21.1073,21.1073,8000
mlp.linear_fc2,3,544,0.059082,0,0.823529,1,8000
self_attention.linear_proj,4,28.625,0.0598145,0,15.6507,15.6507,8000
self_attention.linear_qkv,4,24.8905,0.131836,0,17.9989,17.9989,8000
mlp.linear_fc1,4,20.0721,0.125,0,22.3195,22.3195,8000
mlp.linear_fc2,4,556,0.0649414,0,0.805755,1,8000
self_attention.linear_proj,17,27.625,0.0825195,0,16.2172,16.2172,8000
self_attention.linear_qkv,17,11.7708,0.125,0,38.0604,38.0604,8000
mlp.linear_fc1,17,10.8574,0.129883,0,41.2621,41.2621,8000
mlp.linear_fc2,17,502,0.0634766,0,0.89243,1,8000
self_attention.linear_proj,18,15.875,0.0563965,0,28.2205,28.2205,8000
self_attention.linear_qkv,18,10.6255,0.121582,0,42.1627,42.1627,8000
mlp.linear_fc1,18,10.3551,0.126953,0,43.2635,43.2635,8000
mlp.linear_fc2,18,576,0.0612793,0,0.777778,1,8000
self_attention.linear_proj,19,31.125,0.0688477,0,14.3936,14.3936,8000
self_attention.linear_qkv,19,10.0859,0.128906,0,44.4185,44.4185,8000
mlp.linear_fc1,19,9.84964,0.125977,0,45.4839,45.4839,8000
mlp.linear_fc2,19,624,0.0600586,0,0.717949,1,8000
self_attention.linear_proj,20,18,0.0625,0,24.8889,24.8889,8000
self_attention.linear_qkv,20,9.03045,0.117188,0,49.6099,49.6099,8000
mlp.linear_fc1,20,9.08646,0.12793,0,49.3041,49.3041,8000
mlp.linear_fc2,20,616,0.0625,0,0.727273,1,8000
self_attention.linear_proj,33,19.875,0.0561523,0,22.5409,22.5409,8000
self_attention.linear_qkv,33,8.09114,0.118652,0,55.3692,55.3692,8000
mlp.linear_fc1,33,8.5215,0.129883,0,52.5729,52.5729,8000
mlp.linear_fc2,33,664,0.0654297,0,0.674699,1,8000
self_attention.linear_proj,34,24.125,0.0593262,0,18.5699,18.5699,8000
self_attention.linear_qkv,34,8.32891,0.117188,0,53.7886,53.7886,8000
mlp.linear_fc1,34,8.66089,0.12793,0,51.7268,51.7268,8000
mlp.linear_fc2,34,524,0.0615234,0,0.854962,1,8000
self_attention.linear_proj,35,18.875,0.0568848,0,23.7351,23.7351,8000
self_attention.linear_qkv,35,8.70899,0.120117,0,51.4411,51.4411,8000
mlp.linear_fc1,35,9.22817,0.132812,0,48.547,48.547,8000
mlp.linear_fc2,35,568,0.0622559,0,0.788732,1,8000
self_attention.linear_proj,36,17.75,0.0524902,0,25.2394,25.2394,8000
self_attention.linear_qkv,36,8.83973,0.124512,0,50.6803,50.6803,8000
mlp.linear_fc1,36,9.55175,0.124512,0,46.9024,46.9024,8000
mlp.linear_fc2,36,776,0.0712891,0,0.57732,1,8000
self_attention.linear_proj,49,31.5,0.0644531,0,14.2222,14.2222,8000
self_attention.linear_qkv,49,17.895,0.123535,0,25.035,25.035,8000
mlp.linear_fc1,49,17.3591,0.128906,0,25.8078,25.8078,8000
mlp.linear_fc2,49,544,0.0664062,0,0.823529,1,8000
self_attention.linear_proj,50,22.625,0.0605469,0,19.8011,19.8011,8000
self_attention.linear_qkv,50,18.986,0.112793,0,23.5963,23.5963,8000
mlp.linear_fc1,50,18.5067,0.130859,0,24.2074,24.2074,8000
mlp.linear_fc2,50,920,0.0844727,0,0.486957,1,8000
self_attention.linear_proj,51,21.875,0.0583496,0,20.48,20.48,8000
self_attention.linear_qkv,51,20.0923,0.119141,0,22.2971,22.2971,8000
mlp.linear_fc1,51,19.8271,0.133789,0,22.5954,22.5954,8000
mlp.linear_fc2,51,704,0.0805664,0,0.636364,1,8000
self_attention.linear_proj,52,16.625,0.0654297,0,26.9474,26.9474,8000
self_attention.linear_qkv,52,21.337,0.123535,0,20.9964,20.9964,8000
mlp.linear_fc1,52,20.7059,0.130859,0,21.6363,21.6363,8000
mlp.linear_fc2,52,1080,0.0878906,0,0.414815,1,8000
self_attention.linear_proj,5,30.125,0.0673828,0,14.8714,14.8714,8000
self_attention.linear_qkv,5,22.3699,0.136719,0,20.0269,20.0269,8000
mlp.linear_fc1,5,15.9248,0.12207,0,28.1322,28.1322,8000
mlp.linear_fc2,5,2048,0.0625,0,0.21875,1,8000
self_attention.linear_proj,6,33.75,0.0622559,0,13.2741,13.2741,8000
self_attention.linear_qkv,6,18.4065,0.145508,0,24.3393,24.3393,8000
mlp.linear_fc1,6,13.0123,0.121582,0,34.4289,34.4289,8000
mlp.linear_fc2,6,892,0.0603027,0,0.502242,1,8000
self_attention.linear_proj,7,40.25,0.0810547,0,11.1304,11.1304,8000
self_attention.linear_qkv,7,15.048,0.146484,0,29.7714,29.7714,8000
mlp.linear_fc1,7,12.0171,0.124512,0,37.2802,37.2802,8000
mlp.linear_fc2,7,780,0.0603027,0,0.574359,1,8000
self_attention.linear_proj,8,28.375,0.0698242,0,15.7885,15.7885,8000
self_attention.linear_qkv,8,14.122,0.126953,0,31.7236,31.7236,8000
mlp.linear_fc1,8,11.8281,0.126953,0,37.8758,37.8758,8000
mlp.linear_fc2,8,584,0.0717773,0,0.767123,1,8000
self_attention.linear_proj,21,26.25,0.0654297,0,17.0667,17.0667,8000
self_attention.linear_qkv,21,8.37393,0.133789,0,53.4994,53.4994,8000
mlp.linear_fc1,21,8.5339,0.15332,0,52.4965,52.4965,8000
mlp.linear_fc2,21,466,0.0625,0,0.961373,1,8000
self_attention.linear_proj,22,37,0.0722656,0,12.1081,12.1081,8000
self_attention.linear_qkv,22,8.58187,0.124023,0,52.2031,52.2031,8000
mlp.linear_fc1,22,8.11878,0.12207,0,55.1807,55.1807,8000
mlp.linear_fc2,22,388,0.0615234,0,1.15464,1.15464,8000
self_attention.linear_proj,23,30.125,0.081543,0,14.8714,14.8714,8000
self_attention.linear_qkv,23,7.91633,0.126953,0,56.5919,56.5919,8000
mlp.linear_fc1,23,7.44798,0.12793,0,60.1506,60.1506,8000
mlp.linear_fc2,23,544,0.0625,0,0.823529,1,8000
self_attention.linear_proj,24,35,0.0756836,0,12.8,12.8,8000
self_attention.linear_qkv,24,7.56989,0.124023,0,59.1818,59.1818,8000
mlp.linear_fc1,24,7.41358,0.130859,0,60.4297,60.4297,8000
mlp.linear_fc2,24,880,0.0605469,0,0.509091,1,8000
self_attention.linear_proj,37,8.25,0.0495605,0,54.303,54.303,8000
self_attention.linear_qkv,37,9.39672,0.125977,0,47.6762,47.6762,8000
mlp.linear_fc1,37,10.043,0.129883,0,44.6083,44.6083,8000
mlp.linear_fc2,37,644,0.0654297,0,0.695652,1,8000
self_attention.linear_proj,38,19.875,0.0644531,0,22.5409,22.5409,8000
self_attention.linear_qkv,38,10.0151,0.115723,0,44.7322,44.7322,8000
mlp.linear_fc1,38,10.9306,0.12793,0,40.9858,40.9858,8000
mlp.linear_fc2,38,660,0.0673828,0,0.678788,1,8000
self_attention.linear_proj,39,10.4375,0.0529785,0,42.9222,42.9222,8000
self_attention.linear_qkv,39,10.4162,0.118652,0,43.0097,43.0097,8000
mlp.linear_fc1,39,11.2639,0.130859,0,39.773,39.773,8000
mlp.linear_fc2,39,448,0.0625,0,1,1,8000
self_attention.linear_proj,40,15.1875,0.0524902,0,29.4979,29.4979,8000
self_attention.linear_qkv,40,10.6806,0.116699,0,41.9451,41.9451,8000
