run,iteration,norm_family,tensor,layer,numel,gain_rms,gain_abs_max,baseline_iteration,gain_rms_ratio_to_baseline,finite_frac,zero_frac,sample_relative_delta_rms,sample_cosine,sample_sign_flip_frac
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,58,128,1.07108185,1.140625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,59,128,1.09330413,1.1640625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,60,128,1.04826382,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,61,128,1.05507466,1.1484375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,62,128,1.04091577,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,63,128,1.02309161,1.0625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,0,5120,0.979513764,0.9921875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,1,5120,0.983934228,0.99609375,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,2,5120,0.987109105,1,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,3,5120,0.97952029,0.9921875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,4,5120,0.980845205,0.9921875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,5,5120,0.976556746,0.98828125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,6,5120,0.973454336,0.98828125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,7,5120,0.976200592,0.9921875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,8,5120,0.979251105,0.9921875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,9,5120,0.982336663,1,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,10,5120,0.985011677,1,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,11,5120,0.987548505,1,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,12,5120,0.989606871,1,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,13,5120,0.991688994,1.0078125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,14,5120,0.993506372,1.0078125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,15,5120,0.995426508,1.0078125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,16,5120,0.997002354,1.0078125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,17,5120,0.998751896,1.015625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,18,5120,1.00036463,1.015625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,19,5120,1.00237905,1.015625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,20,5120,1.00391977,1.015625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,21,5120,1.0057932,1.0234375,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,22,5120,1.00743286,1.0234375,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,23,5120,1.00917843,1.0234375,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,24,5120,1.01085715,1.0234375,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,25,5120,1.01264297,1.03125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,26,5120,1.01445817,1.03125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,27,5120,1.01622063,1.03125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,28,5120,1.01792437,1.03125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,29,5120,1.01989124,1.0390625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,30,5120,1.02157554,1.0390625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,31,5120,1.02331337,1.0390625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,32,5120,1.02509464,1.0390625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,33,5120,1.02698708,1.0390625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,34,5120,1.0288574,1.0390625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,35,5120,1.0305861,1.046875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,36,5120,1.03248206,1.046875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,37,5120,1.03425235,1.046875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,38,5120,1.03609848,1.0546875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,39,5120,1.03800352,1.0546875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,40,5120,1.03969144,1.0546875,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,41,5120,1.0423547,1.0625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,42,5120,1.04301269,1.0625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,43,5120,1.04508554,1.0625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,44,5120,1.04625288,1.0625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,45,5120,1.04692246,1.0625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,46,5120,1.04813823,1.0625,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,47,5120,1.04858231,1.0703125,4000,1,1,0,0,1,0
flagship,4000,pre_mlp_norm,decoder.layers.mlp.linear_fc1.layer_norm_weight,48,5120,1.04910391,1.0703125,4000,1,1,0,0,1,0
