iter,run,tensor,layer,wmax,wrms
64000,cont4b,mlp.linear_fc1,16,0.589844,0.0412404
64000,cont4b,mlp.linear_fc1,17,0.496094,0.0408515
64000,cont4b,mlp.linear_fc1,18,0.683594,0.0408516
64000,cont4b,mlp.linear_fc1,19,0.769531,0.040793
64000,cont4b,mlp.linear_fc1,20,0.644531,0.0407212
64000,cont4b,mlp.linear_fc1,21,0.644531,0.0405701
64000,cont4b,mlp.linear_fc1,22,0.523438,0.0405524
64000,cont4b,mlp.linear_fc1,23,0.515625,0.0404003
64000,cont4b,mlp.linear_fc1,24,0.949219,0.0405479
64000,cont4b,mlp.linear_fc1,25,0.460938,0.0407167
64000,cont4b,mlp.linear_fc1,26,0.535156,0.0407295
64000,cont4b,mlp.linear_fc1,27,0.589844,0.040859
64000,cont4b,mlp.linear_fc1,28,0.542969,0.0408785
64000,cont4b,mlp.linear_fc1,29,0.582031,0.0408962
64000,cont4b,mlp.linear_fc1,30,0.523438,0.0408773
64000,cont4b,mlp.linear_fc1,31,0.427734,0.0409163
64000,cont4b,mlp.linear_fc1,32,0.59375,0.0409999
64000,cont4b,mlp.linear_fc1,33,0.519531,0.0410881
64000,cont4b,mlp.linear_fc1,34,0.40625,0.0411538
64000,cont4b,mlp.linear_fc1,35,0.458984,0.0412324
64000,cont4b,mlp.linear_fc1,36,0.574219,0.0413151
64000,cont4b,mlp.linear_fc1,37,0.5625,0.0413817
64000,cont4b,mlp.linear_fc1,38,0.472656,0.0414041
64000,cont4b,mlp.linear_fc1,39,0.554688,0.0414492
64000,cont4b,mlp.linear_fc1,40,0.5625,0.0414705
64000,cont4b,mlp.linear_fc1,41,0.664062,0.0414785
64000,cont4b,mlp.linear_fc1,42,0.527344,0.0414846
64000,cont4b,mlp.linear_fc1,43,0.648438,0.0414901
64000,cont4b,mlp.linear_fc1,44,0.574219,0.0414886
64000,cont4b,mlp.linear_fc1,45,0.558594,0.0414787
64000,cont4b,mlp.linear_fc1,46,0.625,0.0414738
64000,cont4b,mlp.linear_fc1,47,0.746094,0.0414683
64000,cont4b,mlp.linear_fc1,48,0.847656,0.0414708
64000,cont4b,mlp.linear_fc1,49,0.542969,0.0414653
64000,cont4b,mlp.linear_fc1,50,0.757812,0.0414937
64000,cont4b,mlp.linear_fc1,51,0.466797,0.0415305
64000,cont4b,mlp.linear_fc1,52,0.816406,0.0415963
64000,cont4b,mlp.linear_fc1,53,0.734375,0.0416772
64000,cont4b,mlp.linear_fc1,54,0.878906,0.0417884
64000,cont4b,mlp.linear_fc1,55,0.621094,0.0419505
64000,cont4b,mlp.linear_fc1,56,0.796875,0.0420666
64000,cont4b,mlp.linear_fc1,57,0.675781,0.0420447
64000,cont4b,mlp.linear_fc1,58,0.777344,0.0418624
64000,cont4b,mlp.linear_fc1,59,0.683594,0.0414233
64000,cont4b,mlp.linear_fc1,60,0.652344,0.0406999
64000,cont4b,mlp.linear_fc1,61,0.585938,0.0392651
64000,cont4b,mlp.linear_fc1,62,0.464844,0.0368617
64000,cont4b,mlp.linear_fc1,63,0.867188,0.0360891
68000,cont4b,mlp.linear_fc2,0,2.625,0.0395386
68000,cont4b,mlp.linear_fc2,1,4.125,0.0398257
68000,cont4b,mlp.linear_fc2,2,2.6875,0.0418569
68000,cont4b,mlp.linear_fc2,3,1.85938,0.0414363
68000,cont4b,mlp.linear_fc2,4,2.60938,0.0411945
68000,cont4b,mlp.linear_fc2,5,4.78125,0.0410519
68000,cont4b,mlp.linear_fc2,6,2.25,0.0415381
68000,cont4b,mlp.linear_fc2,7,2.75,0.0421275
68000,cont4b,mlp.linear_fc2,8,2.82812,0.0426111
68000,cont4b,mlp.linear_fc2,9,3.5625,0.0426456
68000,cont4b,mlp.linear_fc2,10,3.59375,0.0427303
68000,cont4b,mlp.linear_fc2,11,2.85938,0.0427863
68000,cont4b,mlp.linear_fc2,12,2.57812,0.0427192
68000,cont4b,mlp.linear_fc2,13,2.78125,0.0425713
68000,cont4b,mlp.linear_fc2,14,1.78906,0.04234
68000,cont4b,mlp.linear_fc2,15,2.3125,0.0420017
68000,cont4b,mlp.linear_fc2,16,2.03125,0.0417
68000,cont4b,mlp.linear_fc2,17,2.125,0.0417927
68000,cont4b,mlp.linear_fc2,18,1.61719,0.0417918
68000,cont4b,mlp.linear_fc2,19,1.78906,0.0418806
68000,cont4b,mlp.linear_fc2,20,1.90625,0.0419241
68000,cont4b,mlp.linear_fc2,21,2.09375,0.0418573
68000,cont4b,mlp.linear_fc2,22,1.41406,0.0418966
68000,cont4b,mlp.linear_fc2,23,2.42188,0.0420036
68000,cont4b,mlp.linear_fc2,24,1.25,0.0423658
68000,cont4b,mlp.linear_fc2,25,1.97656,0.0425348
68000,cont4b,mlp.linear_fc2,26,1.80469,0.0425002
68000,cont4b,mlp.linear_fc2,27,1.83594,0.0426729
68000,cont4b,mlp.linear_fc2,28,2.07812,0.0426725
68000,cont4b,mlp.linear_fc2,29,1.64844,0.0426688
68000,cont4b,mlp.linear_fc2,30,1.92188,0.0426583
68000,cont4b,mlp.linear_fc2,31,2.42188,0.042724
68000,cont4b,mlp.linear_fc2,32,1.80469,0.0428548
68000,cont4b,mlp.linear_fc2,33,1.98438,0.0429124
68000,cont4b,mlp.linear_fc2,34,1.35938,0.0429884
68000,cont4b,mlp.linear_fc2,35,1.95312,0.0430589
68000,cont4b,mlp.linear_fc2,36,2.35938,0.0431132
68000,cont4b,mlp.linear_fc2,37,1.82812,0.0431788
68000,cont4b,mlp.linear_fc2,38,2.65625,0.0432311
68000,cont4b,mlp.linear_fc2,39,1.22656,0.0432513
68000,cont4b,mlp.linear_fc2,40,1.66406,0.043263
68000,cont4b,mlp.linear_fc2,41,0.910156,0.0432645
68000,cont4b,mlp.linear_fc2,42,2.23438,0.0432683
68000,cont4b,mlp.linear_fc2,43,1.80469,0.0432776
68000,cont4b,mlp.linear_fc2,44,2.17188,0.0432905
